region,population
Белгородская область,1514527
Алтайский край,2130950
Амурская область,756198
Архангельская обл. без НАО,964304
Архангельская область,1005687
Астраханская область,950557
Брянская область,1152505
Владимирская область,1325510
Волгоградская область,2470057
Вологодская область,1128782
Воронежская область,2285282
Москва,13104177
г. Севастополь,558273
Санкт-Петербург,5600044
Еврейская автономная область,147458
Забайкальский край,992429
Ивановская область,914725
Иркутская область,2344360
Кабардино-Балкарская республика,903266
Калининградская область,1032343
Калужская область,1070853
Камчатский край,288730
Карачаево-Черкесская республика,468444
Кемеровская область,2568238
Кировская область,1138112
Костромская область,571900
Краснодарский край,5819345
Красноярский край,2845545
Курганская область,761586
Курская область,1067034
Ленинградская область,2023767
Липецкая область,1126263
Магаданская область,134315
Московская область,8591736
Мурманская область,658698
Ненецкий автономный округ,41383
Нижегородская область,3081817
Новгородская область,575926
Новосибирская область,2794266
Омская область,1832064
Оренбургская область,1841377
Орловская область,700276
Пензенская область,1246609
Пермский край,2508352
Приморский край,1820076
Псковская область,587786
Башкортостан,4077600
Северная Осетия - Алания,680748
Адыгея,497985
Алтай,210769
Бурятия,974628
Дагестан,3209781
Ингушетия,519078
Республика Калмыкия,264483
Республика Карелия,527880
Республика Коми,726434
Республика Крым,1916805
Марий Эл,672321
Республика Мордовия,771373
Республика Саха (Якутия),997565
Татарстан,4001625
Тыва,337271
Республика Хакасия,530233
Ростовская область,4164547
Рязанская область,1088918
Самарская область,3142683
Саратовская область,2404944
Сахалинская область,460535
Свердловская область,4239161
Смоленская область,873041
Ставропольский край,2891204
Тамбовская область,966250
Тверская область,1211183
Томская область,1052106
Тульская область,1481471
Тюменская обл. без а.о.,1608494
Тюменская область,3851234
Удмуртская республика,1442251
Ульяновская область,1181006
Хабаровский край,1284090
Ханты-Мансийский автономный округ - Югра,1730353
Челябинская область,3407145
Чеченская республика,1533209
Чувашия,1173177
Чукотский автономный округ,47840
Ямало-Ненецкий автономный округ,512387
Ярославская область,1194605
